Cluster,latitude,longitude
0,13.850901517857142,100.55019125
1,13.722187719714965,100.49710273159145
2,13.770921967213114,100.6466743237705
3,13.85482375,100.70207609375
4,13.66924656529517,100.44679894454383
5,13.774800445859873,100.35949407643312
6,13.679639230769231,100.61013940828403
7,13.781746902654866,100.81436265486725
8,13.79900695945946,100.5656583108108
9,13.842482105263159,100.79127330827068
10,13.752905806988354,100.53847442595674
11,13.685124891774892,100.68066173160173
12,13.784151340206186,100.4529918556701
13,13.902087714285715,100.67523620408163
14,13.89254331775701,100.61818686915888
15,13.845543866666667,100.86161173333333
16,13.636638754578755,100.49899263736263
17,13.713905913043478,100.46971915217391
18,13.699058407407408,100.39605996296297
19,13.805669729729729,100.64423572972973
20,13.815917100456621,100.5281897716895
21,13.7117052,100.5943922736842
22,13.76354303030303,100.73691656565657
23,13.801310112676056,100.59924861971831
24,13.706879126984127,100.35463551587301
25,13.630877664670658,100.38711383233533
26,13.696989225512528,100.52969906605922
27,13.765546094986806,100.61696986807388
28,13.864583660714286,100.63413883928571
29,13.731322075471699,100.70297845911949
30,13.749816084337349,100.50748940963855
31,13.768300820189275,100.5662419400631
32,13.752200184501845,100.47034479704797
33,13.726640335917313,100.52506440568476
34,13.712168293650794,100.42483607142857
35,13.780451888246628,100.4954233140655
36,13.823625138592751,100.56550552238807
37,13.726376077922078,100.64977116883117
38,13.730298066298342,100.78796254143646
39,13.836717364864866,100.65875476351351
40,13.923825227272728,100.58540539772727
41,13.679040305343511,100.63889316793893
42,13.926737077922079,100.63860487012987
43,13.7403847112462,100.59923121580547
44,13.782284014084507,100.68722482394367
45,13.834699773462782,100.60067142394821
46,13.906777115384616,100.8422801923077
47,13.732390208044382,100.56001456310679
48,13.879661830238726,100.5841224403183
49,13.75889913580247,100.40875098765432
50,13.816520254545454,100.72357901818182
51,13.780955300546449,100.53744234972677
52,13.893389090909091,100.73388198347108
53,13.68410677506775,100.49304227642277
54,13.63468103896104,100.43169744588745
