Cluster,latitude,longitude
0,13.71485155844156,100.59194967532467
1,13.750781193415637,100.50565596707818
2,13.902321846153846,100.65000784615384
3,13.63463829787234,100.40469617021276
4,13.728733448275863,100.74652689655173
5,13.848968292682926,100.86644951219512
6,13.834244666666667,100.604946
7,13.69714512195122,100.53169577235772
8,13.742126923076922,100.3850576923077
9,13.677874626865671,100.67135880597014
10,13.777800975609756,100.68233329268293
11,13.816152109375,100.52796859375
12,13.880106842105263,100.58276201754386
13,13.734747594936708,100.6473629113924
14,13.816762247191011,100.72052179775281
15,13.720740299401198,100.4830119760479
16,13.757994367088608,100.46984829113924
17,13.841699811320755,100.65449018867925
18,13.636754857142858,100.50045428571428
19,13.818443988095238,100.5664586904762
20,13.761978918918919,100.56235783783784
21,13.681097127659575,100.6110294680851
22,13.891365,100.72830961538462
23,13.811963846153846,100.77678076923077
24,13.70367081632653,100.35122163265306
25,13.667741285714285,100.44516342857143
26,13.776231818181818,100.35890272727272
27,13.726689333333333,100.521394
28,13.7699415,100.73136075000001
29,13.735762,100.7940648
30,13.795628363636364,100.59897027272727
31,13.782473224043716,100.49510612021858
32,13.926882608695653,100.5935845652174
33,13.6550524,100.368798
34,13.692446842105264,100.4691875
35,13.726809710144927,100.6974947826087
36,13.698290405405405,100.63916027027027
37,13.804977904761905,100.64866714285715
38,13.621202571428572,100.44224314285714
39,13.851266543209876,100.5490875308642
40,13.90005,100.68746774193548
41,13.71815629213483,100.43673033707866
42,13.870317352941177,100.79944882352942
43,13.781107536231884,100.44108101449275
44,13.853962222222222,100.704032
45,13.783818787878788,100.81774575757576
46,13.731990166666666,100.55858711111111
47,13.751727983870968,100.60732814516129
48,13.70332125,100.39583819444444
49,13.786743445378152,100.53976840336135
50,13.751893546099291,100.53594191489361
51,13.784971559633027,100.57029385321101
52,13.684171978021977,100.49904615384615
53,13.882607846153846,100.61683846153846
54,13.771793046875,100.641918046875
